               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11679,             0.10875,            0.063854,                   0,                   0,                   0,                   0,             0.11332,             0.08427,            0.063682,           1.836e-05,           1.836e-05,            0.092403
                   1,             0.11631,             0.11288,            0.063841,                   0,                   0,                   0,                   0,             0.11162,            0.087265,            0.063601,            4.59e-05,            4.59e-05,            0.092153
                   2,             0.11518,             0.11929,            0.063741,                   0,                   0,                   0,                   0,             0.10997,            0.090082,            0.063511,          7.3437e-05,          7.3437e-05,            0.091903
                   3,             0.11349,             0.11294,            0.063587,                   0,                   0,                   0,                   0,             0.10844,             0.09267,            0.063412,          0.00010097,          0.00010097,            0.091653
                   4,             0.11044,              0.1129,            0.063553,                   0,                   0,                   0,                   0,             0.10709,              0.0949,            0.063309,           0.0001285,           0.0001285,            0.091403
                   5,             0.11118,             0.11426,            0.063432,                   0,                   0,                   0,                   0,               0.106,            0.096704,            0.063208,          0.00015603,          0.00015603,            0.091152
                   6,             0.10921,             0.11672,            0.063232,                   0,                   0,                   0,                   0,             0.10519,            0.097962,            0.063109,          0.00018354,          0.00018354,            0.090902
                   7,             0.11071,             0.13388,            0.063176,                   0,                   0,                   0,                   0,             0.10463,            0.098795,             0.06301,          0.00021105,          0.00021105,            0.090652
                   8,              0.1075,              0.1146,            0.062928,                   0,                   0,                   0,                   0,             0.10415,             0.09949,            0.062912,          0.00023854,          0.00023854,            0.090402
                   9,             0.10925,             0.11903,            0.062869,                   0,                   0,                   0,                   0,             0.10379,             0.10002,            0.062814,          0.00026603,          0.00026603,            0.090151
                  10,             0.10832,             0.11159,            0.062692,                   0,                   0,                   0,                   0,             0.10353,             0.10035,            0.062719,           0.0002935,           0.0002935,            0.089901
                  11,             0.11013,             0.11623,            0.062812,                   0,                   0,                   0,                   0,             0.10338,             0.10057,            0.062626,          0.00032095,          0.00032095,            0.089651
                  12,             0.10815,             0.10701,            0.062722,                   0,                   0,                   0,                   0,             0.10321,             0.10081,            0.062536,          0.00034839,          0.00034839,            0.089401
                  13,             0.10917,             0.12005,            0.062487,                   0,                   0,                   0,                   0,             0.10308,             0.10102,            0.062448,          0.00037581,          0.00037581,             0.08915
